0,196,242,3
2,22,377,1
8,305,451,3
10,62,257,2
11,286,1014,5
13,210,40,3
14,224,29,3
15,303,785,3
17,194,274,2
21,167,486,4
26,38,95,5
33,290,88,4
34,97,194,3
35,157,274,4
38,276,796,1
40,10,16,4
43,276,564,3
45,246,201,5
48,99,4,5
56,87,384,4
65,138,26,5
66,167,232,1
69,223,274,4
70,189,512,4
72,92,1049,1
76,178,248,4
77,254,1444,3
82,225,480,5
88,11,111,4
90,8,338,4
91,162,25,4
93,279,154,5
97,62,382,3
98,28,209,4
100,32,294,3
101,90,382,5
102,286,208,4
112,168,151,5
115,90,648,4
117,62,21,3
119,237,514,4
120,94,789,4
125,194,385,2
140,174,368,1
141,87,274,4
144,13,836,2
146,244,756,2
148,95,787,2
151,57,419,3
154,299,111,3
158,10,486,4
163,121,514,3
170,19,4,4
171,268,231,4
174,44,294,4
176,279,1336,1
183,268,1035,2
196,160,719,3
199,130,216,4
200,92,1079,3
208,207,476,2
212,224,26,3
213,181,220,4
214,259,255,4
217,161,202,5
218,148,408,5
219,125,235,2
221,58,1098,4
223,90,347,4
226,125,478,4
227,110,688,1
233,303,69,5
234,16,944,1
235,301,790,4
238,194,1028,2
241,294,109,4
242,286,171,4
246,303,842,2
247,62,65,4
250,301,401,4
252,70,746,3
253,63,242,3
254,28,201,3
266,233,202,5
267,83,623,4
269,192,476,2
278,38,153,5
279,7,382,4
284,269,367,3
290,130,1014,3
294,218,209,5
303,201,695,1
305,1,189,3
307,23,385,4
327,170,749,5
330,128,204,4
331,181,1295,1
332,184,153,3
335,184,321,5
345,218,430,3
346,308,1197,4
350,69,256,5
354,63,1067,3
355,267,410,4
361,18,26,4
371,271,709,3
372,142,169,5
374,222,151,3
375,87,40,3
379,207,1115,2
380,299,577,3
382,305,425,4
383,49,959,2
387,203,321,3
393,194,66,3
395,308,402,4
397,269,522,5
408,269,845,1
409,7,163,4
414,13,186,4
415,178,731,4
417,256,781,5
419,244,186,3
420,279,1181,4
429,301,604,4
435,213,173,5
438,59,715,5
439,5,17,4
440,125,163,5
448,291,80,4
449,250,238,4
453,119,407,3
459,13,892,3
462,117,1047,2
463,99,111,1
465,65,47,2
466,295,194,4
468,85,259,2
474,91,480,4
475,215,211,4
476,181,938,1
488,72,1110,3
489,115,1067,4
490,7,430,3
492,73,480,4
494,263,419,5
502,264,294,3
508,298,486,3
510,62,712,4
511,246,94,2
514,11,732,3
515,92,168,4
522,117,150,4
524,193,869,3
525,94,184,2
526,281,338,2
527,130,109,3
530,182,845,3
531,129,873,1
533,64,381,4
535,45,25,4
542,293,249,3
543,264,721,5
550,268,824,2
551,109,8,3
555,192,1061,4
558,193,941,4
563,157,25,3
565,119,382,5
573,90,259,2
582,276,40,3
584,152,301,3
585,178,845,4
589,308,81,5
590,75,284,2
592,307,94,3
593,222,781,3
596,13,864,4
600,245,1028,5
603,271,1028,2
605,69,240,3
607,22,376,3
610,279,399,4
618,283,1114,5
625,13,901,1
626,276,70,4
627,244,17,2
629,226,242,5
632,214,478,4
633,306,235,4
634,222,26,3
636,60,430,5
638,42,274,5
639,1,202,5
642,15,749,1
645,244,381,4
647,7,497,4
656,130,1246,3
657,264,655,4
658,207,13,3
660,246,409,2
661,87,367,4
666,213,235,1
667,92,739,2
670,274,845,5
671,188,692,5
675,193,407,4
676,144,709,4
678,48,609,4
679,5,225,2
684,222,173,5
685,72,866,4
687,1,171,5
689,165,216,4
690,222,49,3
695,90,25,5
696,208,216,5
703,286,153,5
705,22,80,4
708,15,25,3
718,239,1070,5
722,280,1049,2
725,192,948,3
731,295,739,4
734,201,1100,4
735,93,820,3
736,159,1028,5
745,222,796,4
748,126,294,3
750,125,80,4
751,43,120,4
752,13,780,1
753,253,259,2
757,268,21,3
759,234,81,3
765,168,866,5
769,102,70,3
776,49,1003,2
778,42,1028,4
779,178,433,4
783,56,1047,4
784,197,688,1
787,181,1288,1
789,224,69,4
794,234,487,3
795,7,648,5
797,195,1052,1
802,167,659,4
810,14,269,4
821,270,25,5
824,286,746,4
829,178,385,4
833,276,294,4
834,158,1098,4
835,207,845,3
847,194,152,3
852,16,194,5
858,235,70,5
864,104,301,2
867,279,122,1
875,230,1444,2
877,6,301,2
883,111,301,4
884,18,408,5
886,110,944,3
891,89,216,5
893,305,512,4
894,184,412,2
896,279,1428,3
905,20,208,2
914,218,208,3
916,275,186,3
922,5,110,1
924,2,251,5
931,87,401,2
932,287,926,4
940,196,393,4
941,56,91,4
942,82,477,3
947,308,1286,3
948,16,8,5
949,180,202,3
950,203,93,4
955,17,13,3
958,197,347,4
967,104,756,2
968,94,216,3
969,239,194,5
978,6,69,3
982,184,522,3
983,99,873,1
990,279,725,4
992,85,433,3
994,13,72,4
996,208,663,5
1000,313,478,3
1008,100,354,2
1013,130,105,4
1015,286,73,5
1016,7,623,3
1018,210,204,5
1021,297,73,2
1027,291,1178,4
1028,125,382,1
1029,70,399,4
1031,301,523,4
1037,244,790,4
1039,151,13,3
1042,271,65,3
1049,75,240,1
1059,83,385,4
1061,109,402,4
1063,185,216,4
1065,149,319,2
1070,284,269,4
1080,283,845,4
1083,78,255,4
1084,11,425,4
1088,87,585,4
1089,250,204,2
1092,312,692,4
1093,91,683,3
1095,291,376,3
1097,145,737,2
1099,276,419,5
1101,102,524,3
1104,49,995,3
1109,279,168,5
1117,90,945,5
1118,85,25,2
1120,303,393,4
1123,94,792,4
1129,200,892,4
1133,196,381,4
1138,151,747,3
1139,7,171,3
1140,286,85,5
1141,172,220,4
1142,308,516,4
1144,82,756,1
1146,59,235,1
1148,145,756,2
1151,285,269,4
1152,207,65,3
1155,210,70,4
1162,297,25,4
1166,301,138,2
1167,1,47,4
1171,7,451,5
1173,6,517,4
1177,277,257,3
1180,25,257,4
1188,21,948,1
1203,138,523,5
1204,268,386,2
1212,82,194,4
1214,280,845,3
1225,246,721,4
1232,154,242,3
1233,223,763,3
1237,174,402,5
1238,256,487,5
1240,161,168,1
1243,43,40,3
1244,285,150,5
1245,42,953,2
1251,304,259,1
1254,303,1098,4
1255,165,372,5
1257,3,335,1
1258,56,869,3
1261,29,189,4
1266,19,435,5
1273,92,747,4
1275,58,173,5
1276,244,154,5
1280,230,138,3
1281,16,209,5
1282,151,835,5
1286,248,257,3
1293,44,240,4
1296,233,208,4
1298,312,153,2
1301,230,419,4
1304,205,316,4
1306,268,790,2
1308,83,929,3
1309,268,580,3
1310,222,1041,3
1315,18,202,3
1321,253,746,3
1323,299,1047,2
1326,290,208,3
1331,138,517,4
1332,64,433,2
1335,62,433,5
1339,264,70,4
1341,24,763,5
1342,279,1162,3
1346,223,908,1
1348,239,430,3
1350,172,580,4
1356,299,240,2
1361,109,1012,4
1362,207,25,4
1363,92,1209,1
1366,58,709,5
1368,152,111,5
1371,77,91,3
1373,177,321,2
1378,295,72,4
1380,277,255,4
1386,177,69,1
1387,213,13,4
1389,128,739,4
1390,291,428,5
1391,25,208,4
1397,70,419,5
1401,201,209,3
1402,99,274,1
1406,222,88,4
1414,268,1041,1
1416,303,411,4
1418,234,648,3
1425,64,516,5
1427,239,81,3
1429,256,220,3
1433,144,153,5
1435,210,274,5
1446,85,13,3
1450,181,240,1
